Date,accumulate
2022/8/30,41795
2022/8/31,41795
2022/9/1,41795
2022/9/2,41795
2022/9/3,41795
2022/9/4,41795
2022/9/5,41795
2022/9/6,41795
2022/9/7,41795
2022/9/8,112337
2022/9/9,112337
2022/9/10,112337
2022/9/11,112337
2022/9/12,112337
2022/9/13,112337
2022/9/14,134108
2022/9/15,135368
2022/9/16,135368
2022/9/17,135368
2022/9/18,135368
2022/9/19,135368
2022/9/20,135368
2022/9/21,123232
2022/9/22,43846
2022/9/23,26034
2022/9/24,26034
2022/9/25,26034
2022/9/26,26034
2022/9/27,26034
2022/9/28,26034
2022/9/29,90744
2022/9/30,69914
2022/10/1,69914
2022/10/2,69914
2022/10/3,69914
2022/10/4,69062
2022/10/5,69062
2022/10/6,69062
2022/10/7,69062
2022/10/8,69062
2022/10/9,69062
2022/10/10,69062
2022/10/11,75479
2022/10/12,75479
2022/10/13,75479
2022/10/14,75479
2022/10/15,75479
2022/10/16,75479
2022/10/17,117047
2022/10/18,135241
2022/10/19,114983
2022/10/20,87279
2022/10/21,87279
2022/10/22,87279
2022/10/23,87279
2022/10/24,74275
2022/10/25,59443
2022/10/26,59891
2022/10/27,48239
2022/10/28,48287
2022/10/29,48287
2022/10/30,48287
2022/10/31,48287
2022/11/1,48287
2022/11/2,48287
2022/11/3,53109
2022/11/4,53109
2022/11/5,53109
2022/11/6,53109
2022/11/7,46125
2022/11/8,40549
2022/11/9,40549
2022/11/10,40549
2022/11/11,40549
2022/11/12,40549
2022/11/13,40549
2022/11/14,40549
2022/11/15,40549
2022/11/16,66260
2022/11/17,56196
2022/11/18,42438
2022/11/19,42438
2022/11/20,42438
2022/11/21,42438
2022/11/22,35081
2022/11/23,35081
2022/11/24,35081
2022/11/25,35081
2022/11/26,35081
2022/11/27,35081
2022/11/28,35081
2022/11/29,21063
2022/11/30,21063
2022/12/1,21063
2022/12/2,21063
2022/12/3,21063
2022/12/4,21063
2022/12/5,21063
2022/12/6,31583
2022/12/7,24803
2022/12/8,24803
2022/12/9,24803
2022/12/10,24803
2022/12/11,24803
2022/12/12,24803
2022/12/13,24803
2022/12/14,24803
2022/12/15,24803
2022/12/16,24803
2022/12/17,24803
2022/12/18,24803
2022/12/19,24803
2022/12/20,24803
2022/12/21,70273
2022/12/22,70273
2022/12/23,70517
2022/12/24,70517
2022/12/25,70517
2022/12/26,65277
2022/12/27,65277
2022/12/28,65277
2022/12/29,80121
2022/12/30,80121
2022/12/31,80121
2023/1/1,80121
2023/1/2,80121
2023/1/3,81243
2023/1/4,81243
2023/1/5,81243
2023/1/6,81243
2023/1/7,81243
2023/1/8,81243
2023/1/9,81243
2023/1/10,152785
2023/1/11,152785
2023/1/12,152785
2023/1/13,158055
2023/1/14,158055
2023/1/15,158055
2023/1/16,158055
2023/1/17,158055
2023/1/18,158055
2023/1/19,158055
2023/1/20,158055
2023/1/21,158055
2023/1/22,158055
2023/1/23,158055
2023/1/24,158055
2023/1/25,158055
2023/1/26,158055
2023/1/27,158055
2023/1/28,158055
2023/1/29,158055
2023/1/30,158125
2023/1/31,158125
2023/2/1,158125
2023/2/2,158125
2023/2/3,158125
2023/2/4,158125
2023/2/5,158125
2023/2/6,158125
2023/2/7,158125
2023/2/8,158125
2023/2/9,158125
2023/2/10,158125
2023/2/11,158125
2023/2/12,158125
2023/2/13,135373
2023/2/14,135373
2023/2/15,135391
2023/2/16,135391
2023/2/17,135391
2023/2/18,135391
2023/2/19,135391
2023/2/20,135391
2023/2/21,135391
2023/2/22,135391
2023/2/23,135391
2023/2/24,135391
2023/2/25,135391
2023/2/26,135391
2023/2/27,135391
2023/2/28,135391
2023/3/1,135391
2023/3/2,135391
2023/3/3,135391
2023/3/4,135391
2023/3/5,135391
2023/3/6,135391
2023/3/7,135391
2023/3/8,135391
2023/3/9,135391
2023/3/10,135391
2023/3/11,135391
2023/3/12,135391
2023/3/13,135391
2023/3/14,135391
2023/3/15,148819
2023/3/16,148819
2023/3/17,146109
2023/3/18,146109
2023/3/19,146109
2023/3/20,146109
2023/3/21,136989
2023/3/22,136989
2023/3/23,136989
2023/3/24,136989
2023/3/25,136989
2023/3/26,136989
2023/3/27,136989
2023/3/28,178527
2023/3/29,178527
2023/3/30,176263
2023/3/31,176263
2023/4/1,176263
2023/4/2,176263
2023/4/3,176263
2023/4/4,176263
2023/4/5,176263
2023/4/6,175099
2023/4/7,164771
2023/4/8,164771
2023/4/9,164771
2023/4/10,163207
2023/4/11,144079
2023/4/12,144079
2023/4/13,137915
2023/4/14,134351
2023/4/15,134351
2023/4/16,134351
2023/4/17,134351
2023/4/18,131987
2023/4/19,141423
2023/4/20,140177
2023/4/21,140177
2023/4/22,140177
2023/4/23,140177
2023/4/24,140177
2023/4/25,140177
2023/4/26,140177
2023/4/27,140177
2023/4/28,170315
2023/4/29,170315
2023/4/30,170315
2023/5/1,170315
2023/5/2,170315
2023/5/3,169525
2023/5/4,166061
2023/5/5,151151
2023/5/6,151151
2023/5/7,151151
2023/5/8,151151
2023/5/9,151151
2023/5/10,153669
2023/5/11,153669
2023/5/12,153669
2023/5/13,153669
2023/5/14,153669
2023/5/15,153669
2023/5/16,160837
2023/5/17,177005
2023/5/18,177005
2023/5/19,177005
2023/5/20,177005
2023/5/21,177005
2023/5/22,177005
2023/5/23,177005
2023/5/24,188373
2023/5/25,176009
2023/5/26,176009
2023/5/27,176009
2023/5/28,176009
2023/5/29,176009
2023/5/30,176009
2023/5/31,207943
2023/6/1,207943
2023/6/2,201275
2023/6/3,201275
2023/6/4,201275
2023/6/5,201275
2023/6/6,201275
2023/6/7,201275
2023/6/8,212607
2023/6/9,191905
2023/6/10,191905
2023/6/11,191905
2023/6/12,191905
2023/6/13,191905
2023/6/14,191905
2023/6/15,191905
2023/6/16,191905
2023/6/17,191905
2023/6/18,191905
2023/6/19,254203
2023/6/20,254203
2023/6/21,253201
2023/6/22,253201
2023/6/23,253201
2023/6/24,253201
2023/6/25,253201
2023/6/26,253201
2023/6/27,253201
2023/6/28,253201
2023/6/29,253201
2023/6/30,253201
2023/7/1,253201
2023/7/2,253201
2023/7/3,280049
2023/7/4,280049
2023/7/5,280049
2023/7/6,299297
2023/7/7,299297
2023/7/8,299297
2023/7/9,299297
2023/7/10,299297
2023/7/11,324245
2023/7/12,324245
2023/7/13,324245
2023/7/14,324245
2023/7/15,324245
2023/7/16,324245
2023/7/17,324245
2023/7/18,324245
2023/7/19,365189
2023/7/20,365189
2023/7/21,365189
2023/7/22,365189
2023/7/23,365189
2023/7/24,365189
2023/7/25,376637
2023/7/26,376637
2023/7/27,374633
2023/7/28,374633
2023/7/29,374633
2023/7/30,374633
2023/7/31,369731
2023/8/1,369731
2023/8/2,369731
2023/8/3,369731
2023/8/4,369731
2023/8/5,369731
2023/8/6,369731
2023/8/7,381479
2023/8/8,357077
2023/8/9,357077
2023/8/10,335423
2023/8/11,335423
2023/8/12,335423
2023/8/13,335423
2023/8/14,335423
2023/8/15,335423
2023/8/16,403424
2023/8/17,403424
2023/8/18,361826
2023/8/19,361826
2023/8/20,361826
2023/8/21,361826
2023/8/22,356330
2023/8/23,323888
2023/8/24,323888
2023/8/25,333539
2023/8/26,333539
2023/8/27,333539
2023/8/28,333539
2023/8/29,333137
2023/8/30,333137
2023/8/31,333137
2023/9/1,338033
2023/9/2,338033
2023/9/3,338033
2023/9/4,313829
2023/9/5,313829
2023/9/6,313829
2023/9/7,306127
2023/9/8,306127
2023/9/9,306127
2023/9/10,306127
2023/9/11,306127
2023/9/12,324925
2023/9/13,324925
2023/9/14,324925
2023/9/15,324925
2023/9/16,324925
2023/9/17,324925
2023/9/18,350023
2023/9/19,350023
2023/9/20,377971
2023/9/21,377971
2023/9/22,377971
2023/9/23,377971
2023/9/24,377971
2023/9/25,388822
2023/9/26,367576
2023/9/27,367576
2023/9/28,360730
2023/9/29,360730
2023/9/30,360730
2023/10/1,360730
2023/10/2,360730
2023/10/3,360730
2023/10/4,364234
2023/10/5,357988
2023/10/6,357988
2023/10/7,357988
2023/10/8,357988
2023/10/9,357988
2023/10/10,357988
2023/10/11,357988
2023/10/12,357988
2023/10/13,357988
2023/10/14,357988
2023/10/15,357988
2023/10/16,392389
2023/10/17,361435
2023/10/18,394186
2023/10/19,394186
2023/10/20,394186
2023/10/21,394186
2023/10/22,394186
2023/10/23,394186
2023/10/24,394186
2023/10/25,408340
2023/10/26,395644
2023/10/27,395644
2023/10/28,395644
2023/10/29,395644
2023/10/30,395644
2023/10/31,387802
2023/11/1,387802
2023/11/2,375106
2023/11/3,375106
2023/11/4,375106
2023/11/5,375106
2023/11/6,375106
2023/11/7,375106
2023/11/8,375106
2023/11/9,375106
2023/11/10,457507
2023/11/11,457507
2023/11/12,457507
2023/11/13,441955
2023/11/14,441955
2023/11/15,490853
2023/11/16,490853
2023/11/17,490853
2023/11/18,490853
2023/11/19,490853
2023/11/20,490853
2023/11/21,490853
2023/11/22,490853
2023/11/23,490597
2023/11/24,468343
2023/11/25,468343
2023/11/26,468343
2023/11/27,460339
2023/11/28,443737
2023/11/29,443737
2023/11/30,443737
2023/12/1,423383
2023/12/2,423383
2023/12/3,423383
2023/12/4,423383
2023/12/5,418031
2023/12/6,407595
2023/12/7,388459
2023/12/8,376323
2023/12/9,376323
2023/12/10,376323
2023/12/11,376323
2023/12/12,376323
2023/12/13,376323
2023/12/14,350447
2023/12/15,350447
2023/12/16,350447
2023/12/17,350447
2023/12/18,350447
2023/12/19,364553
2023/12/20,364515
2023/12/21,347821
2023/12/22,347821
2023/12/23,347821
2023/12/24,347821
2023/12/25,348327
2023/12/26,348327
2023/12/27,348327
2023/12/28,348327
2023/12/29,348327
2023/12/30,348327
2023/12/31,348327
2024/1/1,348327
2024/1/2,358145
2024/1/3,358145
2024/1/4,358145
2024/1/5,358145
2024/1/6,358145
2024/1/7,358145
2024/1/8,381401
2024/1/9,336419
2024/1/10,336419
2024/1/11,348875
2024/1/12,324935
2024/1/13,324935
2024/1/14,324935
2024/1/15,307395
2024/1/16,268455
2024/1/17,306919
2024/1/18,306919
2024/1/19,278383
2024/1/20,278383
2024/1/21,278383
